source_id	source_title	source_type	source_scope	source_date	source_citation	edition	editors_or_authors	publisher	coverage_limits	extraction_method	packet_ids	extraction_status	notes
cambridge_history_chinese_lit_2010	The Cambridge History of Chinese Literature	language_literary_history	Scholarly history of Chinese literature from early periods through modernity	2010	Cambridge Core listing: https://www.cambridge.org/core/books/cambridge-history-of-chinese-literature/6FEBDC1995B8D05749A1F453D7577D21/listing	Vols. 1-2	Kang-i Sun Chang; Stephen Owen	Cambridge University Press	Chapter-level and partly gated; reference/context evidence, not a selection anthology	Extract public chapter metadata and accessible summaries; use for work, period, and boundary context and corroboration	E016;X025	context_only	Cambridge Core chapter lists parsed into 15 chapter-context rows across Vols. 1-2.
chinese_text_project_premodern	Chinese Text Project	digital_text_collection	Open digital library/index of premodern Chinese texts, including Pre-Qin/Han and Post-Han corpora	ongoing	Chinese Text Project: https://ctext.org/	online digital collection	Chinese Text Project	Chinese Text Project	Not a canon list; includes philosophical, historical, technical, and nonliterary texts; variable source provenance	Parse public tables of contents or API where available; use for title authority, aliases, text access, and corpus presence	E016;X024	metadata_ready	Chinese Text Project public Pre-Qin/Han index parsed into 108 title/access metadata rows; rows are not canon-selection evidence.
clay_sanskrit_library_56vol	The Complete Clay Sanskrit Library	translation_series	Classical Sanskrit literature in 56 bilingual volumes, including epic, drama, poetry, narrative, Buddhist, and Jain materials	2005-2009	Clay Sanskrit Library volume list: https://claysanskritlibrary.org/volumes/volumes-list/ ; NYU Press set: https://nyupress.org/9780814717431/the-complete-clay-sanskrit-library/	56-volume set	Clay Sanskrit Library editors	NYU Press / JJC Foundation	Sanskrit only; completed/discontinued; many rows are epic books, selections, or multi-volume parts rather than whole works	Parse official volume list and NYU product metadata; group multi-volume works; flag partial epic and book scope	E015	extracted	Complete 56-volume official Clay Sanskrit Library list ingested as translation-series metadata rows.
columbia_lithum_current_2026	Columbia Literature Humanities current reading list	university_core_reading_list	Current Columbia Lit Hum two-semester required readings	2026	https://www.college.columbia.edu/core-curriculum/classes/literature-humanities	current web page	Columbia College Core Curriculum	Columbia College	Western/core-curriculum weighted; includes instructor-choice slots and reader excerpts	Extract listed Fall/Spring works; classify complete work versus excerpt/reader item; match by title, author, and collection	E007	ready_for_extraction	High-value teaching-canon layer; not global by itself
columbia_lithum_historical_1937_present	Columbia Literature Humanities texts, 1937-present	university_core_historical_reading_list	Literature Humanities works and years studied since 1937	1937-present	https://www.college.columbia.edu/core-curriculum/lit-hum-texts-1937-2020	living historical list	Columbia College Core Curriculum	Columbia College	Many texts historically read in excerpts; instructor-choice list is nonrequired	Extract author/text/year ranges; mark required, historical, instructor-choice, and excerpt status	E007	ready_for_extraction	Useful for long-run Western teaching-canon persistence
columbia_modern_chinese_lit_2e_2007	The Columbia Anthology of Modern Chinese Literature	field_anthology	Modern Chinese literature in translation from China, Taiwan, Hong Kong, and early twenty-first-century extensions	2007	Columbia University Press: https://cup.columbia.edu/book/the-columbia-anthology-of-modern-chinese-literature/9780231138406/ ; Google Books: https://books.google.com/books?id=DRt84_yIsrAC	2nd ed.	Joseph S. M. Lau; Howard Goldblatt	Columbia University Press	Selection anthology; fiction, poetry, and essays dominate; complete-work support must be verified item by item	Use publisher metadata plus public TOC previews; extract author, title, genre, period section, and region where available	E016;X024	extracted	LOC public prepublication TOC parsed into 168 line-level rows; count supersedes the earlier 14-row pilot and older 166-item estimate.
columbia_traditional_chinese_lit_1996	The Columbia Anthology of Traditional Chinese Literature	field_anthology	Traditional Chinese literature across foundations, poetry, prose, fiction, drama, criticism, and popular/peripheral forms	1996	Columbia University Press: https://cup.columbia.edu/book/the-columbia-anthology-of-traditional-chinese-literature/9780231074292/ ; library TOC: https://search.cpl.org/Record/a207337	Translations from the Asian Classics	Victor H. Mair	Columbia University Press	Public publisher page exposes high-level contents; library TOC helps item-level extraction; many items are excerpts/selections	Extract public TOC and library contents; mark complete work, excerpt, selection, genre, and context item	E016;X024;X025	in_progress	Full Columbia TOC remains blocked at CPL by Cloudflare; eCampus page for ISBN 9780231074292 exposes an unrelated autobiography TOC, so it was rejected. Shorter Columbia was added separately as an abridged comparator source.
dante_digital_anchor_layer	Princeton Dante Project and Digital Dante	specialist_digital_project	Dante texts, Commedia, minor works, commentary, translation, and reference metadata	1999-ongoing	PDP: https://dante.princeton.edu/ ; MDR PDP: https://mdr-maa.org/resource/princeton-dante-project/ ; Digital Dante MDR: https://mdr-maa.org/resource/digital-dante/	online	Robert Hollander; Teodolinda Barolini and collaborators	Princeton/Columbia	Dante-specific; not broader Trecento evidence	Use for Dante work identity, minor-work coverage, commentary, and text access	E009	metadata_ready	Supports Divine Comedy and Vita Nuova; does not settle Petrarch/Boccaccio coverage
dumbarton_oaks_medieval_library	Dumbarton Oaks Medieval Library	edited_text_series	Medieval Latin, Byzantine Greek, Old English, and medieval Iberian bilingual editions	2010-ongoing	Series: https://domedieval.org/ ; 2024 catalog: https://domedieval.org/wp-content/uploads/2024/09/DOML-2024-catalog.pdf	series	Dumbarton Oaks Medieval Library language editors	Harvard University Press	Series catalog; not a canon list; copyrighted translations	Extract volume metadata, language, work identity, and edition scope	E009	metadata_ready	Strong Latin, Old English, and Iberian authority layer
e001_local_accepted_canon_records	Accepted _canon records, Wave 005 baseline	accepted_site_record	Local accepted site records in _canon/*.md	2026-05-03	Local repository snapshot at commit 64600ddb264839d57a173438490f36eeed4c31b3; _canon/*.md	Wave 005 baseline	Codex/local accepted records	benjaminkramer50.github.io	Internal accepted records only; not an external canon source; embedded evidence remains separate source debt	Parse front matter where canon_review.status starts with accepted and match canon_id to incumbent path IDs	E001	extracted	61 accepted records matched to incumbent path
e008_cambridge_greek_latin_classics	Cambridge Greek and Latin Classics	commentary_text_series	Commented Greek/Latin texts for advanced students and scholars	current Cambridge Core series	https://www.cambridge.org/core/series/cambridge-greek-and-latin-classics/9900A4E001E0221C90A6CAD4E6F45A1B	series	Series editors	Cambridge University Press	Selective pedagogical/commentary series, not comprehensive	Extract series titles, authors, publication dates, descriptions; match by work/book/selection	E008	ready_public_metadata	Useful for syllabus-level centrality and book-level selection evidence
e008_loeb_classical_library_digital	Loeb Classical Library	digital_primary_text_series	Greek and Latin literature, ca. 700 BCE-700 CE	current online database	Harvard University Press / Loeb Classical Library; Rutgers database description	digital	Loeb editors	Harvard University Press	Subscription text; public metadata uneven; Loeb presence is not automatic canon status	Use public catalog/Perseus Loeb-series metadata; do not scrape texts; classify complete works, fragments, and selections	E008	ready_with_access_limits	High-value source layer for canonical Greek/Latin coverage
e008_oxford_classical_dictionary_online	Oxford Classical Dictionary	reference_encyclopedia	Classical world reference entries, including literature, history, philosophy, religion, and reception	2015-, updated online	https://academic.oup.com/edited-volume/61673?pageSize=20&sort=titlesort&subSite=classics&t=ORE_CLA%3AREFCLA004	online living edition	Lucy Grig and contributors	Oxford University Press	Many entries gated; validates author/work importance and boundaries, not path inclusion alone	Search author/work entries and subject facets; record entry presence, subject, access status, and boundary notes	E008	ready_partial_public	Useful for boundary adjudication and author/work authority
e008_oxford_scholarly_editions_oct	Oxford Classical Texts via Oxford Scholarly Editions Online	critical_edition_series	Greek and Latin critical editions/translations including Oxford Classical Texts	current online product	OUP Classical Studies / Oxford Scholarly Editions Online	online	OUP editors	Oxford University Press	Subscription; direct title list may be incomplete publicly	Use OUP public series/product metadata plus Perseus series facet for OCT records; classify as critical-edition evidence	E008	partial_public_metadata	Strong edition-history layer, weaker for popular canon
e008_perseus_catalog_greek_latin_works	Perseus Catalog	metadata_catalog	Greek and Latin authors/works, editions, translations, series metadata	online catalog	https://catalog.perseus.org/catalog	1.0	Perseus Digital Library	Perseus Digital Library / Tufts	Work metadata, not canon ranking; includes fragmentary and non-literary material	Extract title, author, language, series, and subject facets; match to path by title, creator, aliases, and original language	E008	ready_public_metadata	Best open machine-readable crosswalk layer for Greek/Latin metadata
e008_phi_classical_latin_texts	Packard Humanities Institute Classical Latin Texts	latin_text_corpus	Latin literary texts before AD 200 plus selected later antiquity	online from PHI CD-ROM 5.3	https://latin.packhum.org/about	online	Packard Humanities Institute	Packard Humanities Institute	Latin only; mostly pre-200 CE; text license permits personal study, not bulk copying	Extract author/work metadata only: author number, work title, work number, reference edition, URL	E008	ready_public_metadata	Best open Latin corpus layer for detecting absent Latin authors/works
e012_loa_african_american_poetry_2020	African American Poetry: 250 Years of Struggle & Song	poetry_anthology	African American poetry, 1770-2020	2020	Library of America No. 333, edited by Kevin Young	LOA anthology	Kevin Young	Library of America	Poem-level evidence; not full-book evidence for every poet	Extract poet and poem rows; support poet/selection basis and poetry coverage	E012	in_progress	Pilot rows ingested; full poem-level extraction and selection policy still pending
e012_loa_slave_narratives	Slave Narratives	authoritative_collection	Slave narrative tradition, 1772-1864	LOA edition	Library of America No. 114, edited by William L. Andrews and Henry Louis Gates Jr.	LOA series edition	William L. Andrews; Henry Louis Gates Jr.	Library of America	Contains ten works; not all are equal path candidates	Extract work-level rows; match complete narratives and flag represented-by-collection	E012	in_progress	Pilot rows ingested; complete contained-work extraction still pending
e012_locke_new_negro_1925	The New Negro: An Interpretation	primary_anthology	Harlem Renaissance fiction, poetry, essays, art, music, and criticism	1925	Alain Locke, ed., A. and C. Boni, 1925	original edition	Alain Locke	A. and C. Boni	Public domain TOC/full text available; anthology source distinct from contained works	Extract one row per named contribution; distinguish anthology as source from contained works	E012	not_started	Primary Harlem Renaissance source
e012_norton_african_american_lit_4e_v1_2025	The Norton Anthology of African American Literature, Volume 1	field_anthology	Beginnings through Harlem Renaissance	2025	Henry Louis Gates Jr. et al., The Norton Anthology of African American Literature, 4th ed., W. W. Norton, 2025	4th ed.	Henry Louis Gates Jr.; Valerie Smith; William L. Andrews; Frances Smith Foster; others	W. W. Norton	Public TOC is available; copyrighted anthology text not extractable	Extract public TOC selection rows; classify complete work, excerpt, poem, song, oral item, or sermon	E012	in_progress	Pilot rows ingested; full TOC extraction and item-scope coding pending
e012_norton_african_american_lit_4e_v2_2025	The Norton Anthology of African American Literature, Volume 2	field_anthology	Realism, Naturalism, Modernism to the Present	2025	Henry Louis Gates Jr. et al., The Norton Anthology of African American Literature, 4th ed., W. W. Norton, 2025	4th ed.	Henry Louis Gates Jr.; Valerie Smith; Jesse McCarthy; Farah Jasmine Griffin; others	W. W. Norton	Public TOC is available; many entries are excerpts/selections	Extract public TOC; separate author representation from work representation	E012	in_progress	Pilot rows ingested; full TOC extraction and item-scope coding pending
e013_cambridge_history_latin_american_lit_1996	The Cambridge History of Latin American Literature	region_literary_history	Latin American literature including Brazilian literature, pre-Columbian traditions, colonial literature, and twentieth-century literature	1996; online 2008	Cambridge Core series page: https://www.cambridge.org/core/series/cambridge-history-of-latin-american-literature/F1BAF6C15BEBF9D61A58A0CE54C4338B	3 vols.	Roberto Gonzalez Echevarria; Enrique Pupo-Walker	Cambridge University Press	Reference/history layer, not anthology inclusion evidence; chapter text partly gated	Extract public chapter TOC and bibliography structure; use named works as context and authority, not direct canon votes	E013;X024	context_only	Cambridge Core chapter lists parsed into 52 chapter-context rows across Vols. 1-3.
e013_fsg_20c_latin_american_poetry_2011	The FSG Book of Twentieth-Century Latin American Poetry	poetry_anthology	Twentieth-century Latin American poetry in Spanish, Portuguese, Ladino, Spanglish, and Indigenous languages	2011/2012	Macmillan: https://academic.macmillan.com/academictrade/9780374533182/thefsgbookoftwentiethcenturylatinamericanpoetry/ ; Boulder library TOC: https://boulder.marmot.org/GroupedWork/07e23042-8c1d-b5bd-5f7c-81eebfe68805/Home	1st ed.; trade paperback	Ilan Stavans	Farrar, Straus and Giroux	Twentieth-century poetry only; overlaps Oxford poetry; edition page counts differ by format	Extract author and poem rows from library TOC; preserve bilingual titles and translator or edition notes where exposed	E013	extracted	Complete 84 creator-group public MARC 505 contents rows ingested from Boulder public record; poem groups remain selection-level evidence.
e013_oxford_latin_american_poetry_2009	The Oxford Book of Latin American Poetry: A Bilingual Anthology	poetry_anthology	Latin American poetry across more than 500 years, multilingual, original texts plus English translations	2009	Google Books: https://books.google.com/books/about/The_Oxford_Book_of_Latin_American_Poetry.html?id=UJ-Qj-Sx4RoC ; Calicut library TOC: https://find.uoc.ac.in/Record/308884/TOC	illustrated ed.	Cecilia Vicuna; Ernesto Livon-Grosman	Oxford University Press	Poetry-only; many excerpts, oral/codex items, and translation-title variants	Extract poem and selection rows from public TOC; flag excerpts, anonymous/traditional items, original language, and collection/cycle cases	E013	extracted	Public UOC TOC ingested as 137 line-item rows; rows with broken creator/title delimiters are retained raw and require later cleanup.
e013_oxford_latin_american_short_stories_1997	The Oxford Book of Latin American Short Stories	field_anthology	Latin American short fiction from colonial period to contemporary period	1997	CCA library TOC: https://library.cca.edu/cgi-bin/koha/opac-ISBDdetail.pl?biblionumber=32656 ; Google Books: https://books.google.com/books/about/The_Oxford_Book_of_Latin_American_Short.html?id=MHDRCwAAQBAJ	1st ed.	Roberto Gonzalez Echevarria	Oxford University Press	Short-story only; translated selections; not full-work evidence for authors	Extract public TOC story rows with author and translator where available; classify complete story versus excerpt	E013	extracted	Complete 53-story public TOC ingested; expanded X013/X014/X017 routing complete for eligible rows.
e014_african_writers_series_heinemann_penguin	African Writers Series	authoritative_edition_series	Modern African literary edition series: fiction, poetry, drama, essays, and biography	1962-current; 2023 title list	Pearson PDF: https://www.pearson.com/content/dam/one-dot-com/one-dot-com/international-schools/pdfs/rights-and-licensing/African-Writers-Series-2023-Oct.pdf ; Penguin Random House series: https://www.penguinrandomhouse.com/series/PAF/penguin-african-writers-series/	series	Heinemann/Pearson editors; Penguin Classics relaunch	Pearson / Penguin Random House	Edition/reception evidence, not anthology vote; English/translation and publishing-history skew; includes nonliterary prose	Parse Pearson title-list PDF and Penguin Random House title pages; classify genre, author, original language where known, and exact work identity	E014;X023	metadata_ready	Pearson 2023 rights PDF parsed into 47 title rows and PRH series page added one non-duplicate relaunch row; edition-series metadata only.
e014_cambridge_history_african_caribbean_lit_2000	The Cambridge History of African and Caribbean Literature	region_literary_history	African and Caribbean literary history, oral traditions through postcolonial literatures	2000; online 2008	Cambridge Vol. 1: https://www.cambridge.org/core/books/the-cambridge-history-of-african-and-caribbean-literature/1B9F2963235BC68CB3CA5EA6D534AC60 ; Vol. 2: https://www.cambridge.org/core/books/cambridge-history-of-african-and-caribbean-literature/383D7F023CD01BFB6AF3F29A7CDD7EB7	2 vols.	F. Abiola Irele; Simon Gikandi	Cambridge University Press	Includes Caribbean; chapter-level reference source, not direct anthology evidence; text partly gated	Extract chapter TOC and African chapter metadata; use for regional, language, and boundary checks	E014;X024	context_only	Cambridge Core chapter lists parsed into 40 chapter-context rows across Vols. 1-2.
e014_penguin_modern_african_poetry_4e_2007	The Penguin Book of Modern African Poetry	poetry_anthology	Modern African poetry; 99 poets from 27 countries	2007	Penguin Random House: https://www.penguinrandomhouse.com/books/301584/the-penguin-book-of-modern-african-poetry-by-edited-by-gerald-moore-introduction-by-gerald-moore-and-ulli-beier/	4th ed.	Gerald Moore; Ulli Beier	Penguin Classics	Official page gives strong metadata but not complete public TOC; poetry-only	Extract publisher metadata now; seek library or physical TOC before claiming exhaustive poem-level rows	E014;X023	extracted	Structured eCampus public TOC parsed into 239 poem rows under 99 poet headings; PRH official page confirms 99 poets/27 countries but not full TOC.
e014_rienner_anthology_african_lit_2007	The Rienner Anthology of African Literature	field_anthology	African oral and written literature from ancient cultures to the present, continent-wide	2007	Lynne Rienner official page and contents: https://www.rienner.com/title/The_Rienner_Anthology_of_African_Literature	paperback; 977 pages	Anthonia C. Kalu	Lynne Rienner Publishers	Many rows are excerpts, chapters, acts, oral-tradition selections, or translated pieces	Extract official contents by part, region, and period; classify complete piece, excerpt, oral item, drama act, and novel chapter	E014	extracted	Complete 146 explicit official contents rows ingested from Lynne Rienner public page; excerpt/chapter/act scope coded conservatively.
e017_columbia_early_modern_japanese_lit_2002	Early Modern Japanese Literature: An Anthology, 1600-1900	field_anthology	Edo/Tokugawa through early Meiji; fiction, poetry, drama, essays, treatises, criticism, and popular genres	2002	Columbia University Press: https://cup.columbia.edu/book/early-modern-japanese-literature/9780231109901/ ; Google Books: https://books.google.com/books/about/Early_Modern_Japanese_Literature.html?id=jAf9aqjnnGMC	Translations from the Asian Classics; hardcover 2002/paperback 2004	Haruo Shirane	Columbia University Press	Public TOC is mostly chapter/genre-level; many contained works are excerpts/selections	Extract chapter TOC and public partial contents; match Saikaku, Basho, Chikamatsu, Bakin, kabuki, yomihon, and haikai rows separately	E017;X023;X024	extracted	Dandelon public TOC PDF parsed into 282 line-level rows after excluding chapter 1 editorial historical context.
e017_columbia_modern_japanese_lit_v1_2005	The Columbia Anthology of Modern Japanese Literature, Volume 1: From Restoration to Occupation, 1868-1945	field_anthology	Meiji through wartime modern Japanese literature; fiction, poetry, drama, essays	2005	Columbia University Press: https://cup.columbia.edu/book/the-columbia-anthology-of-modern-japanese-literature/9780231118606/	Modern Asian Literature Series; hardcover 2005/paperback 2007	J. Thomas Rimer; Van C. Gessel	Columbia University Press	Covers anthology selections, not necessarily complete works; romanization normalization needed	Extract official line-item contents; classify work, selection, or excerpt and match author-title pairs	E017	extracted	Complete 119 explicit titled public TOC rows ingested; structural headings/form-only labels omitted.
e017_columbia_modern_japanese_lit_v2_2007	The Columbia Anthology of Modern Japanese Literature, Volume 2: 1945 to the Present	field_anthology	Postwar to early twenty-first-century Japanese literature; fiction, poetry, drama, essays	2007	Columbia University Press: https://cup.columbia.edu/book/the-columbia-anthology-of-modern-japanese-literature/9780231138048/ ; Google Books: https://books.google.com/books/about/The_Columbia_Anthology_of_Modern_Japanes.html?id=BAg9tUJR1aEC	Modern Asian Literature Series; hardcover	J. Thomas Rimer	Columbia University Press	Official page is metadata-rich but not full line-item TOC; Google Books TOC is partial; copyrighted text unavailable	Extract official named examples plus Google Books TOC; flag missing denominator pending physical or ebook TOC	E017	extracted	Complete 96 explicit title+creator rows ingested from Kriso public product TOC for Volume 2.
e017_columbia_traditional_japanese_lit_2007	Traditional Japanese Literature: An Anthology, Beginnings to 1600	field_anthology	Japanese literature from earliest writing through Muromachi; poetry, prose, drama, setsuwa, criticism	2007	Columbia University Press: https://cup.columbia.edu/book/traditional-japanese-literature/9780231136969/ ; Google Books: https://books.google.com/books/about/Traditional_Japanese_Literature.html?id=KmWCAAAAIAAJ	Translations from the Asian Classics; hardcover 2007/paperback 2008	Haruo Shirane	Columbia University Press	English-translation anthology; official page has period-level TOC, Google Books has partial item TOC; selections/excerpts need item-scope coding	Extract official period and genre headings plus Google Books partial items; mark complete, excerpt, or selection	E017;X023;X024	extracted	LOC public prepublication TOC parsed into 409 line-level rows; generic subheadings are retained as source rows but only explicit matches count downstream.
e018_columbia_modern_korean_fiction_2005	Modern Korean Fiction: An Anthology	field_anthology	Twentieth-century Korean fiction across colonial, division, North/South, women writers, and postwar modern fiction	2005	Columbia University Press: https://cup.columbia.edu/book/modern-korean-fiction/9780231135139/	Modern Asian Literature Series	Bruce Fulton; Youngmin Kwon	Columbia University Press	Short-fiction anthology; weak for novels and post-2005 contemporary works	Extract official 22-item TOC; match story-level items and author-title variants	E018	extracted	Complete 22-item public story TOC ingested; evidence generation waits on match/relation review.
e018_columbia_premodern_korean_prose_2018	Premodern Korean Literary Prose: An Anthology	field_anthology	Korean prose from tenth to nineteenth century; Silla, Koryo, and Choson prose, short fiction, long fiction, unofficial histories, diaries, oral narratives, and novellas	2018	Columbia University Press: https://cup.columbia.edu/book/premodern-korean-literary-prose/9780231165808/	Translations from the Asian Classics	Michael J. Pettid; Gregory N. Evon; Chan Park	Columbia University Press	Anthology selections; not comprehensive for pansori cycle works; item scope varies by excerpt or complete text	Extract official line-item TOC; match original titles, translated titles, translators, and excerpt status	E018	extracted	Public CUP contents ingested as 43 source-item rows; chapter-versus-nested-item granularity still reviewable.
e018_columbia_traditional_korean_poetry_2003	The Columbia Anthology of Traditional Korean Poetry	field_anthology	Traditional Korean poetry: hyangga, Koryo songs, Songs of Flying Dragons, sijo, kasa, Chinese-language poetry, folk and shamanist songs	2003	Columbia University Press: https://cup.columbia.edu/book/the-columbia-anthology-of-traditional-korean-poetry/9780231111133/	Translations from the Asian Classics	Peter H. Lee	Columbia University Press	Poetry-only; official contents are genre-level, not poem-level; no prose/pansori fiction coverage	Extract genre, author, and index anchors; match named poem cycles and poet selections conservatively	E018	metadata_ready	Nine public section/chapter metadata rows ingested; official contents are genre-level except Songs of Flying Dragons.
e018_lti_korea_digital_library_classics	LTI Korea Digital Library of Korean Literature / LTIKOREA Classic Sourcebook	digital_text_collection	Korean literature in translation; public catalog, writer metadata, e-books, and 26 representative classical works including Chunhyangjeon	2007-ongoing; API registered 2022-11-25, edited 2026-01-07	LTI Korea library: https://library.ltikorea.or.kr/about/aboutLibrary?tab=operation ; OpenAPI: https://www.data.go.kr/en/data/15108417/openapi.do ; Classic Sourcebook example: https://library.ltikorea.or.kr/translatedbooks/22459	online	Literature Translation Institute of Korea	LTI Korea	Not a canon-selection source by itself; metadata/access layer; catalog coverage follows translated availability	Use public catalog/API records for original title, romanization, author, translation, language, and access metadata; do not score as anthology inclusion	E018	metadata_ready	Complete 26-row Classic Sourcebook OpenAPI metadata list ingested; metadata/access rows do not count as canon-selection evidence.
heath_american_lit_7e_2014	The Heath Anthology of American Literature, Seventh Edition	american_literature_anthology	Five-volume US literature anthology, beginnings to contemporary period	2014	UTA/Cengage/eCampus public metadata for 7th ed. volumes	7th ed.	Paul Lauter and coeditors	Wadsworth/Cengage	Public metadata available by volume; full TOC access varies	Extract volume TOCs where public/authorized; emphasize inclusive-canon and underrepresented-author evidence	E011	in_progress	Counterweight to Norton with broader/inclusive canon coverage
icelandic_saga_database	Icelandic Saga Database	digital_text_collection	Sagas of Icelanders, Icelandic plus public-domain translations	ongoing	Project/index: https://sagadb.org/ ; A-Z: https://sagadb.org/index_az	online	Sveinbjorn Thordarson	Icelandic Saga Database	Family sagas only; excludes Eddas, kings' sagas, and legendary sagas	Extract saga titles, language availability, and translation status	E009	public_index_ready	Anchor for Njals, Egils, Gisli, Laxdaela, Grettir; avoid importing all sagas as gaps
lancelot_grail_lacy_5vol	Lancelot-Grail: The Old French Vulgate and Post-Vulgate Cycles in Translation	arthurian_cycle_translation	Old French Arthurian Vulgate and Post-Vulgate cycle	2010/2013	Routledge page: https://www.routledge.com/Lancelot-Grail-5-Volumes-Routledge-Revivals-The-Old-French-Vulgate--Post-Vulgate-Cycles-in-Translation/Lacy/p/book/9780415877275	5 vols.	Norris J. Lacy	Routledge	Copyrighted translation; public metadata and TOC only	Extract cycle and section structure, not translation text	E009	metadata_ready	Anchor for Grail, Lancelot, Quest, and Death of Arthur relation mapping
